timestamp,open,high,low,close,volume,oi,HA_Open,HA_High,HA_Low,HA_Close,HA_Green,Entry
2026-05-19 09:15:00+05:30,9.0,9.35,7.35,8.2,58240,1521065,9.0,9.35,7.35,8.475000000000001,False,False
2026-05-19 09:16:00+05:30,8.2,8.2,7.4,7.75,42380,1524185,8.7375,8.7375,7.4,7.887499999999999,False,False
2026-05-19 09:17:00+05:30,7.75,7.8,7.5,7.6,47320,1531270,8.3125,8.3125,7.5,7.6625,False,False
2026-05-19 09:18:00+05:30,7.6,7.6,7.3,7.45,38025,1539785,7.9875,7.9875,7.3,7.4875,False,False
2026-05-19 09:19:00+05:30,7.45,7.55,7.15,7.2,81380,1544660,7.7375,7.7375,7.15,7.3374999999999995,False,False
2026-05-19 09:20:00+05:30,7.15,7.2,6.9,6.95,30745,1553240,7.5375,7.5375,6.9,7.05,False,False
2026-05-19 09:21:00+05:30,6.9,7.1,6.9,7.0,26260,1544010,7.293749999999999,7.293749999999999,6.9,6.975,False,False
2026-05-19 09:22:00+05:30,7.0,7.35,6.9,7.25,46670,1547260,7.1343749999999995,7.35,6.9,7.125,False,False
2026-05-19 09:23:00+05:30,7.15,7.45,7.15,7.35,21580,1552980,7.129687499999999,7.45,7.129687499999999,7.275,True,True
2026-05-19 09:24:00+05:30,7.35,7.45,7.3,7.35,23595,1550120,7.20234375,7.45,7.20234375,7.362500000000001,True,False
2026-05-19 09:25:00+05:30,7.35,7.45,7.15,7.25,20475,1549015,7.282421875000001,7.45,7.15,7.300000000000001,True,False
2026-05-19 09:26:00+05:30,7.25,7.4,7.2,7.25,10400,1553695,7.291210937500001,7.4,7.2,7.275,False,False
2026-05-19 09:27:00+05:30,7.25,7.5,7.2,7.45,16640,1558115,7.2831054687500005,7.5,7.2,7.35,True,True
2026-05-19 09:28:00+05:30,7.45,7.45,7.15,7.2,19825,1560650,7.316552734375,7.45,7.15,7.3125,False,False
2026-05-19 09:29:00+05:30,7.25,7.4,7.2,7.4,19045,1561495,7.3145263671875,7.4,7.2,7.3125,False,False
2026-05-19 09:30:00+05:30,7.35,7.45,7.15,7.15,18070,1563900,7.31351318359375,7.45,7.15,7.275,False,False
2026-05-19 09:31:00+05:30,7.1,7.4,7.05,7.4,22685,1567605,7.294256591796875,7.4,7.05,7.237500000000001,False,False
2026-05-19 09:32:00+05:30,7.4,7.4,6.85,6.85,38415,1581255,7.265878295898438,7.4,6.85,7.125,False,False
2026-05-19 09:33:00+05:30,6.9,6.9,6.5,6.55,17745,1595100,7.1954391479492195,7.1954391479492195,6.5,6.7125,False,False
2026-05-19 09:34:00+05:30,6.55,6.6,6.15,6.2,23725,1602835,6.95396957397461,6.95396957397461,6.15,6.374999999999999,False,False
2026-05-19 09:35:00+05:30,6.25,6.25,6.0,6.1,23595,1607775,6.6644847869873045,6.6644847869873045,6.0,6.15,False,False
2026-05-19 09:36:00+05:30,6.05,6.15,5.9,6.15,84435,1608295,6.407242393493652,6.407242393493652,5.9,6.0625,False,False
2026-05-19 09:37:00+05:30,6.15,6.4,6.15,6.4,25935,1632280,6.234871196746826,6.4,6.15,6.275,True,True
2026-05-19 09:38:00+05:30,6.4,6.6,6.25,6.35,79560,1625650,6.254935598373413,6.6,6.25,6.4,True,False
2026-05-19 09:39:00+05:30,6.35,6.5,6.25,6.35,37895,1630785,6.3274677991867065,6.5,6.25,6.362500000000001,True,False
2026-05-19 09:40:00+05:30,6.4,6.6,6.4,6.45,37830,1630330,6.344983899593354,6.6,6.344983899593354,6.4624999999999995,True,False
2026-05-19 09:41:00+05:30,6.45,6.45,6.3,6.35,29315,1634490,6.403741949796677,6.45,6.3,6.387499999999999,False,False
2026-05-19 09:42:00+05:30,6.35,6.6,6.3,6.4,36465,1639950,6.395620974898338,6.6,6.3,6.4125,True,True
2026-05-19 09:43:00+05:30,6.45,6.85,6.4,6.7,27105,1632150,6.4040604874491684,6.85,6.4,6.6000000000000005,True,False
2026-05-19 09:44:00+05:30,6.75,6.8,6.45,6.45,16250,1632540,6.502030243724585,6.8,6.45,6.6125,True,False
2026-05-19 09:45:00+05:30,6.45,6.6,6.3,6.45,22555,1632020,6.557265121862292,6.6,6.3,6.45,False,False
2026-05-19 09:46:00+05:30,6.5,6.5,6.25,6.35,10920,1622855,6.5036325609311465,6.5036325609311465,6.25,6.4,False,False
2026-05-19 09:47:00+05:30,6.3,6.35,6.2,6.25,10725,1624025,6.451816280465573,6.451816280465573,6.2,6.2749999999999995,False,False
2026-05-19 09:48:00+05:30,6.25,6.3,6.05,6.25,12480,1624090,6.363408140232787,6.363408140232787,6.05,6.2125,False,False
2026-05-19 09:49:00+05:30,6.2,6.2,6.0,6.0,14885,1623830,6.287954070116394,6.287954070116394,6.0,6.1,False,False
2026-05-19 09:50:00+05:30,6.0,6.15,5.9,6.1,14885,1630655,6.193977035058197,6.193977035058197,5.9,6.0375,False,False
2026-05-19 09:51:00+05:30,6.1,6.2,6.1,6.2,10010,1635920,6.115738517529098,6.2,6.1,6.1499999999999995,True,True
2026-05-19 09:52:00+05:30,6.2,6.25,6.05,6.2,9490,1638520,6.132869258764549,6.25,6.05,6.175,True,False
2026-05-19 09:53:00+05:30,6.2,6.25,6.15,6.25,10920,1640925,6.153934629382274,6.25,6.15,6.2125,True,False
