Generated 22 events.
==========================================================================================
Timestamp            | Signal      | Spot     | Strike | Expiry     | Premium | Instrument Key           
==========================================================================================
2025-04-15 09:35:00  | BUY_INTENT  | 23300.55 | 23300.0 | 2025-04-17 | 133.60  | NSE_FO|48236|17-04-2025  
2025-04-15 09:55:00  | SELL_INTENT | 23306.10 | 23300.0 | 2025-04-17 | 134.60  | NSE_FO|48236|17-04-2025  
2025-04-15 10:10:00  | BUY_INTENT  | 23312.10 | 23300.0 | 2025-04-17 | 127.65  | NSE_FO|48236|17-04-2025  
2025-04-15 10:15:00  | SELL_INTENT | 23301.20 | 23300.0 | 2025-04-17 | 127.25  | NSE_FO|48236|17-04-2025  
2025-04-15 10:20:00  | BUY_INTENT  | 23308.85 | 23300.0 | 2025-04-17 | 118.25  | NSE_FO|48236|17-04-2025  
2025-04-15 10:30:00  | SELL_INTENT | 23307.95 | 23300.0 | 2025-04-17 | 123.05  | NSE_FO|48236|17-04-2025  
2025-04-15 10:40:00  | BUY_INTENT  | 23309.60 | 23300.0 | 2025-04-17 | 119.00  | NSE_FO|48236|17-04-2025  
2025-04-15 10:50:00  | SELL_INTENT | 23304.30 | 23300.0 | 2025-04-17 | 120.75  | NSE_FO|48236|17-04-2025  
2025-04-15 10:55:00  | BUY_INTENT  | 23309.55 | 23300.0 | 2025-04-17 | 118.70  | NSE_FO|48236|17-04-2025  
2025-04-15 11:05:00  | SELL_INTENT | 23308.80 | 23300.0 | 2025-04-17 | 117.75  | NSE_FO|48236|17-04-2025  
2025-04-15 11:20:00  | BUY_INTENT  | 23305.30 | 23300.0 | 2025-04-17 | 116.00  | NSE_FO|48236|17-04-2025  
2025-04-15 11:40:00  | SELL_INTENT | 23304.90 | 23300.0 | 2025-04-17 | 116.80  | NSE_FO|48236|17-04-2025  
2025-04-15 11:50:00  | BUY_INTENT  | 23305.85 | 23300.0 | 2025-04-17 | 112.90  | NSE_FO|48236|17-04-2025  
2025-04-15 12:50:00  | SELL_INTENT | 23335.45 | 23300.0 | 2025-04-17 | 133.40  | NSE_FO|48236|17-04-2025  
2025-04-15 13:00:00  | BUY_INTENT  | 23345.50 | 23350.0 | 2025-04-17 | 103.20  | NSE_FO|48241|17-04-2025  
2025-04-15 13:10:00  | SELL_INTENT | 23337.70 | 23350.0 | 2025-04-17 | 102.35  | NSE_FO|48241|17-04-2025  
2025-04-15 14:10:00  | BUY_INTENT  | 23326.05 | 23350.0 | 2025-04-17 | 76.95   | NSE_FO|48241|17-04-2025  
2025-04-15 14:25:00  | SELL_INTENT | 23323.20 | 23350.0 | 2025-04-17 | 82.15   | NSE_FO|48241|17-04-2025  
2025-04-15 14:45:00  | BUY_INTENT  | 23323.15 | 23300.0 | 2025-04-17 | 85.95   | NSE_FO|48236|17-04-2025  
2025-04-15 14:55:00  | SELL_INTENT | 23312.00 | 23300.0 | 2025-04-17 | 91.00   | NSE_FO|48236|17-04-2025  
2025-04-15 15:05:00  | BUY_INTENT  | 23320.85 | 23300.0 | 2025-04-17 | 84.10   | NSE_FO|48236|17-04-2025  
2025-04-15 15:25:00  | SELL_INTENT | 23344.10 | 23300.0 | 2025-04-17 | 110.40  | NSE_FO|48236|17-04-2025  
==========================================================================================
